P,Q,secure
20,20,1
20,40,1
20,60,1
20,80,1
20,100,1
40,20,1
40,40,1
40,60,1
40,80,1
40,100,1
60,20,0
60,40,0
60,60,1
60,80,1
60,100,1
80,20,0
80,40,0
80,60,0
80,80,0
80,100,0
100,20,1
100,40,1
100,60,0
100,80,0
100,100,0
5,5,1
10,10,1
15,15,1
25,25,1
30,30,1
35,35,1
45,45,1
50,50,1
55,55,1
65,65,0
70,70,0
75,75,0
85,85,0
90,90,0
95,95,0
10,20,1
10,30,1
10,40,1
10,50,1
10,60,1
10,70,1
10,80,1
10,90,1
10,100,1
20,10,1
20,30,1
20,50,1
20,70,1
20,90,1
30,10,1
30,20,1
30,40,1
30,50,1
30,60,1
30,70,1
30,80,1
30,90,1
30,100,1
40,10,1
40,30,1
40,50,1
40,70,1
40,90,1
50,10,1
50,20,1
50,30,1
50,40,1
50,60,1
50,70,1
50,80,1
50,90,1
50,100,1
60,10,0
60,30,0
60,50,1
60,70,1
60,90,1
70,10,0
70,20,0
70,30,0
70,40,0
70,50,0
70,60,0
70,80,0
70,90,0
70,100,1
80,10,0
80,30,0
80,50,0
80,70,0
80,90,0
90,10,1
90,20,1
90,30,0
90,40,0
90,50,0
90,60,0
90,70,0
90,80,0
90,100,0
100,10,1
100,30,1
100,50,1
100,70,0
100,90,0
5,10,1
5,15,1
5,20,1
5,25,1
5,30,1
5,35,1
5,40,1
5,45,1
5,50,1
5,55,1
5,60,1
5,65,1
5,70,1
5,75,1
5,80,1
5,85,1
5,90,1
5,95,1
5,100,1
10,5,1
10,15,1
10,25,1
10,35,1
10,45,1
10,55,1
10,65,1
10,75,1
10,85,1
10,95,1
15,5,1
15,10,1
15,20,1
15,25,1
15,30,1
15,35,1
15,40,1
15,45,1
15,50,1
15,55,1
15,60,1
15,65,1
15,70,1
15,75,1
15,80,1
15,85,1
15,90,1
15,95,1
15,100,1
20,5,1
20,15,1
20,25,1
20,35,1
20,45,1
20,55,1
20,65,1
20,75,1
20,85,1
20,95,1
25,5,1
25,10,1
25,15,1
25,20,1
25,30,1
25,35,1
25,40,1
25,45,1
25,50,1
25,55,1
25,60,1
25,65,1
25,70,1
25,75,1
25,80,1
25,85,1
25,90,1
25,95,1
25,100,1
30,5,1
30,15,1
30,25,1
30,35,1
30,45,1
30,55,1
30,65,1
30,75,1
30,85,1
30,95,1
35,5,1
35,10,1
35,15,1
35,20,1
35,25,1
35,30,1
35,40,1
35,45,1
35,50,1
35,55,1
35,60,1
35,65,1
